id,nombre,app_latitud,app_longitud,google_latitud,google_longitud,diferencia_km,estado,titulo_google,url_maps
K002,KIELSA SPS PAZ BARAHONA,15.4947684,-88.0333188,15.4947684,-88.0333188,0.0,verificada,Farmacia Kielsa #002,https://maps.app.goo.gl/KoMKtbju4KVhCFXf7
K003,KIELSA SPS LOS ANDES,15.5117006,-88.0368379,15.5117006,-88.0368379,0.0,verificada,Farmacia Kielsa #003,https://maps.app.goo.gl/Tg12ZtAH9MysCf6d9
K008,KIELSA SPS CEMESA,15.4885883,-88.0345701,15.4885883,-88.0345701,0.0,verificada,Farmacia Kielsa #008,https://maps.app.goo.gl/ErX8QMnA35nKg9qC6
K012,KIELSA SPS MAXI PALMAS,15.4891086,-88.0190501,15.4891086,-88.0190501,0.0,verificada,Farmacia Kielsa #012,https://maps.app.goo.gl/sxtVMrN7T2PXfKK39
K014,KIELSA SPS MAXI S. LA LIMA,15.5046341,-88.0064857,15.5046341,-88.0064857,0.0,verificada,Maxi Despensa • Salida a La Lima,https://maps.app.goo.gl/7W48NAoAXYskcJ9e8
K019,KIELSA SPS DIUNSA,15.5040817,-88.0119618,15.5040817,-88.0119618,0.0,verificada,Farmacia Kielsa #019,https://maps.app.goo.gl/x8mAaokQuCMSVBmeA
K024,KIELSA SPS CAPITAL,15.4982006,-88.0365033,15.4982006,-88.0365033,0.0,verificada,Farmacia Kielsa #024,https://maps.app.goo.gl/vHhjMrcGVr3a92ya9
K037,KIELSA SPS 3RA AVENIDA,15.5044500,-88.0254697,15.50445,-88.0254697,0.0,verificada,Farmacia Kielsa peatonal,https://maps.app.goo.gl/sTy1wtyfMeM6qnH1A
K046,KIELSA SPS SARITA,15.5009710,-88.0381307,15.500971,-88.0381307,0.0,verificada,Farmacia Kielsa #046,https://maps.app.goo.gl/9fS4ep9FbKrcQokE8
K049,KIELSA SPS POLICLINICA,15.5108842,-88.0306382,15.5108842,-88.0306382,0.0,verificada,Policlínica Hondureña,https://maps.app.goo.gl/39fByik24wu5txYa6
K050,KIELSA SPS BELLA VISTA,15.5070617,-88.0419475,15.5070617,-88.0419475,0.0,verificada,Farmacia Kielsa #050,https://maps.app.goo.gl/NaZ9rqdFBdC5K32Z6
K056,KIELSA SPS CATARINO RIVAS,15.5253936,-88.0395453,15.5253936,-88.0395453,0.0,verificada,Farmacia Kielsa #056,https://maps.app.goo.gl/YnqHhA8HZee4FDJY7
K058,KIELSA SPS HOSPITAL DEL VALLE I,15.5372130,-88.0149712,15.537213,-88.0149712,0.0,verificada,Farmacia Kielsa #058,https://maps.app.goo.gl/uRYWyrvi1Ekcq16R8
K066,KIELSA SPS SATELITE,15.4870060,-87.9850150,15.487006,-87.985015,0.0,verificada,Farmacia Kielsa,https://maps.app.goo.gl/BDKYc8FuF1PYe5tr6
K067,KIELSA SPS TARA,15.5440100,-88.0144300,15.54401,-88.01443,0.0,verificada,Farmacia Kielsa #067,https://maps.app.goo.gl/gwxGHAtDhLgvSuKS7
K072,KIELSA SPS COLL FASHION,15.5632843,-88.0229643,15.5632843,-88.0229643,0.0,verificada,UNITEC,https://maps.app.goo.gl/GyX8nxgHaQhCRTzr7
K075,KIELSA SPS CLINICA LOS ANDES,15.5162056,-88.0288224,15.5162056,-88.0288224,0.0,verificada,Farmacia Kielsa #075,https://maps.app.goo.gl/CT2HLgAdhn6UpxYK9
K076,KIELSA SPS GALENOS,15.5151750,-88.0288570,15.515175,-88.028857,0.0,verificada,Centro Médico Galenos,https://maps.app.goo.gl/3qrknji6xBQmXp588
K084,KIELSA SPS BARANDILLAS,15.5162911,-88.0138845,15.5162911,-88.0138845,0.0,verificada,Kielsa Clinica y Laboratorio #53,https://maps.app.goo.gl/PsfZt1eY95sfRLbj9
K090,KIELSA SPS REDONDEL,15.5178804,-88.0250610,15.5178804,-88.025061,0.0,verificada,Farmacia Kielsa #090,https://maps.app.goo.gl/7aU5j6sdPCnLDdRu6
