"tipo","origen_codigo","destino_codigo","origen_nombre","destino_nombre","distancia_metros","distancia_mostrada","tiempo_segundos","tiempo_mostrado","via_principal","enlace_ruta_google_maps","fecha_hora_utc"
"norte","K142","K194","K142 KIELSA SPS ALTARA","K194 KIELSA SPS LA COLONIA #23 ALAMOS","2565","2.6 km","299","5 min","C. Hacia Armenta","https://www.google.com/maps/dir/?api=1&origin=15.5627%2C-88.02202222&destination=15.54703333%2C-88.01131667&travelmode=driving","2026-09-19T05:16:00.790Z"
"norte","K194","K264","K194 KIELSA SPS LA COLONIA #23 ALAMOS","K264 KIELSA SPS MEGA PLAZA PALENQUE","1194","1.2 km","148","2 min","Bulevar del Nte./CA-5","https://www.google.com/maps/dir/?api=1&origin=15.54703333%2C-88.01131667&destination=15.539455%2C-88.01686&travelmode=driving","2026-09-19T05:16:02.011Z"
"norte","K264","K067","K264 KIELSA SPS MEGA PLAZA PALENQUE","K067 KIELSA SPS TARA","2935","2.9 km","346","6 min","Bulevar del Nte./CA-5","https://www.google.com/maps/dir/?api=1&origin=15.539455%2C-88.01686&destination=15.54368333%2C-88.01453333&travelmode=driving","2026-09-19T05:16:03.147Z"
"norte","K067","K142","K067 KIELSA SPS TARA","K142 KIELSA SPS ALTARA","4022","4.0 km","454","8 min","Bulevar del Nte./CA-5 y C. Hacia Armenta","https://www.google.com/maps/dir/?api=1&origin=15.54368333%2C-88.01453333&destination=15.5627%2C-88.02202222&travelmode=driving","2026-09-19T05:16:03.980Z"
"centro","K003","K049","K003 KIELSA SPS LOS ANDES","K049 KIELSA SPS POLICLINICA","1409","1.4 km","266","4 min","5 Calle NO","https://www.google.com/maps/dir/?api=1&origin=15.51166389%2C-88.03683333&destination=15.51074167%2C-88.03042778&travelmode=driving","2026-09-19T05:16:04.872Z"
"centro","K049","K075","K049 KIELSA SPS POLICLINICA","K075 KIELSA SPS CLINICA LOS ANDES","298","300 metros","73","1 min","6 Calle North-West y 10 Avenida NO","https://www.google.com/maps/dir/?api=1&origin=15.51074167%2C-88.03042778&destination=15.51233889%2C-88.02931111&travelmode=driving","2026-09-19T05:16:06.829Z"
"centro","K075","K076","K075 KIELSA SPS CLINICA LOS ANDES","K076 KIELSA SPS GALENOS","329","350 metros","60","1 min","10 Avenida NO","https://www.google.com/maps/dir/?api=1&origin=15.51233889%2C-88.02931111&destination=15.515275%2C-88.02893889&travelmode=driving","2026-09-19T05:16:07.964Z"
"centro","K076","K003","K076 KIELSA SPS GALENOS","K003 KIELSA SPS LOS ANDES","1624","1.6 km","278","5 min","Avenida Circunvalación/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.515275%2C-88.02893889&destination=15.51166389%2C-88.03683333&travelmode=driving","2026-09-19T05:16:08.779Z"
"sur","K085","K017","K085 KIELSA SPS MULTIPLAZA","K017 KIELSA SPS CITY MALL NIVEL I","1322","1.3 km","318","5 min","Blvr. del Sur/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.49424444%2C-88.03430556&destination=15.4963777777778%2C-88.0361166666667&travelmode=driving","2026-09-19T05:16:10.122Z"
"sur","K017","K091","K017 KIELSA SPS CITY MALL NIVEL I","K091 KIELSA SPS LA COLONIA #24 PRADO ALTO","1901","1.9 km","368","6 min","Blvr. del Sur/CA-5 y 10 Avenida S","https://www.google.com/maps/dir/?api=1&origin=15.4963777777778%2C-88.0361166666667&destination=15.48541667%2C-88.03407222&travelmode=driving","2026-09-19T05:16:11.556Z"
"sur","K091","K008","K091 KIELSA SPS LA COLONIA #24 PRADO ALTO","K008 KIELSA SPS CEMESA","413","400 metros","62","1 min","Blvr. del Sur/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.48541667%2C-88.03407222&destination=15.48851944%2C-88.03454722&travelmode=driving","2026-09-19T05:16:12.477Z"
"sur","K008","K085","K008 KIELSA SPS CEMESA","K085 KIELSA SPS MULTIPLAZA","709","700 metros","157","3 min","Blvr. del Sur/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.48851944%2C-88.03454722&destination=15.49424444%2C-88.03430556&travelmode=driving","2026-09-19T05:16:13.413Z"
"entre_zonas","K194","K076","K194 KIELSA SPS LA COLONIA #23 ALAMOS","K076 KIELSA SPS GALENOS","4626","4.6 km","540","9 min","Bulevar del Nte./CA-5","https://www.google.com/maps/dir/?api=1&origin=15.54703333%2C-88.01131667&destination=15.515275%2C-88.02893889&travelmode=driving","2026-09-19T05:16:14.289Z"
"entre_zonas","K003","K017","K003 KIELSA SPS LOS ANDES","K017 KIELSA SPS CITY MALL NIVEL I","1965","2.0 km","378","6 min","Avenida Circunvalación/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.51166389%2C-88.03683333&destination=15.4963777777778%2C-88.0361166666667&travelmode=driving","2026-09-19T05:16:15.113Z"
"sede_A_norte","K253","K142","K253 KIELSA SPS PLAZA UNIVERSAL","K142 KIELSA SPS ALTARA","4931","4.9 km","524","9 min","Bulevar del Nte./CA-5 y C. Hacia Armenta","https://www.google.com/maps/dir/?api=1&origin=15.532625%2C-88.01909&destination=15.5627%2C-88.02202222&travelmode=driving","2026-09-19T05:16:16.100Z"
"sede_A_centro","K253","K003","K253 KIELSA SPS PLAZA UNIVERSAL","K003 KIELSA SPS LOS ANDES","4183","4.2 km","539","9 min","Bulevar del Nte./CA-5 y Avenida Circunvalación/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.532625%2C-88.01909&destination=15.51166389%2C-88.03683333&travelmode=driving","2026-09-19T05:16:16.898Z"
"sede_A_sur","K253","K085","K253 KIELSA SPS PLAZA UNIVERSAL","K085 KIELSA SPS MULTIPLAZA","6577","6.6 km","1012","17 min","Bulevar del Nte./CA-5 y Avenida Circunvalación/CA-5","https://www.google.com/maps/dir/?api=1&origin=15.532625%2C-88.01909&destination=15.49424444%2C-88.03430556&travelmode=driving","2026-09-19T05:16:17.936Z"
