id,nombre,direccion,latitud,longitud,bloque
K002,KIELSA SPS PAZ BARAHONA,"COL. HERNANDEZ CONT. A SEARS, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4950694590738,-88.0331970001994,A
K003,KIELSA SPS LOS ANDES,"COL. LOS ANDES 6TA CALLE 17 AVENIDA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5118608396697,-88.0368164423299,A
K008,KIELSA SPS CEMESA,"FRENTE A CEMESA SPS, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4888602120537,-88.0345909934854,A
K012,KIELSA SPS MAXI PALMAS,"SUPERMERCADO MAXI BODEGA LAS PALMAS, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4891867019237,-88.0190706420097,C
K014,KIELSA SPS MAXI S. LA LIMA,"MAXI BODEGA SALIDA A LA LIMA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5053031415935,-88.0063057290511,C
K019,KIELSA SPS DIUNSA,"COL. SAN FERNANDO 1ERA CALLE INTERIOR DIUNSA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5057646189957,-88.0113284446635,C
K024,KIELSA SPS CAPITAL,"DIRECCION: CAPITAL FTE A CITY MALL SPS, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.498285146018,-88.0364994097469,A
K037,KIELSA SPS 3RA AVENIDA,"DIRECCION: MALL TERCERA AVENIDA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5045637075873,-88.0254589762799,A
K046,KIELSA SPS SARITA,"DIRECCION: AVENIDA CIRCUNVALACION SARITA 8 CALLE, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5011498362576,-88.0378478990839,A
K049,KIELSA SPS POLICLINICA,"DIRECCION: FRENTE A LA POLICLINICA HONDUREÑA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5113517058318,-88.0305566142348,A
K050,KIELSA SPS BELLA VISTA,"DIRECCION: RIO PIEDRAS S.O.1ERA CALLE 21 AVENIDA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5076199810457,-88.0413455741991,A
K056,KIELSA SPS CATARINO RIVAS,"COL. EL POTOSIC-P ESQUINA OPUESTAAL HOSPITAL MARIO ANTONIO RIVAS, MUNIC: SAN PEDRO SULA, DEPTO: CORT",15.525958578615,-88.0398864526316,B
K058,KIELSA SPS HOSPITAL DEL VALLE I,"DIRECCION: COL. BOGRAN INTERIOR DEL HOSPITAL DEL VALLE, MUNICIPIO: SAN PEDRO SULA, DEPTO: CORTES",15.5373237439386,-88.0150615933948,B
K066,KIELSA SPS SATELITE,"COL. SATELITE 1ERA ETAPA 3ERA CALLE 4TA CALLE S.E BLV DEL NORT, MUNIC: SAN PEDRO SULA, DEPTO: CORTES",15.4879132904631,-87.9847796669612,C
K067,KIELSA SPS TARA,"DIRECCION: COL. TARA A 50 MTS GASOLINERA SHELL TARA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5457552372714,-88.0141601467028,B
K072,KIELSA SPS COLL FASHION,"DIRECCION: Boulevard del Norte, Contiguo al Puente de Rio Blanco",15.562953550075,-88.0213013356803,B
K075,KIELSA SPS CLINICA LOS ANDES,"B. LOS ANDRES CENTRO MEDICO LOS ANDES10 AVENIDA 12-13 CALLE, MUNIC: SAN PEDRO SULA, DEPTO: CORTES",15.5169855786898,-88.0323762669559,A
K076,KIELSA SPS GALENOS,"B. LOS ANDES CONT. ASYCOM CENTRO MEDICO GALENOS, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5161585544311,-88.0292005317796,B
K084,KIELSA SPS BARANDILLAS,"B. BARANDILLAS 15 CALLE 4TA AVENIDA JUNIOR, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5163996470531,-88.0137557539793,B
K090,KIELSA SPS REDONDEL,"B. LAS ACACIAS 6TA AVENIDA REDONDEL SALIDA DEL NORTE CIRCUNVALACION, MUNICIPIO: S P S, DEPTO CORTES",15.5185982665974,-88.0251235743783,B
K091,KIELSA SPS LA COLONIA #24 PRADO ALTO,"SUR-OESTE URBANO LA GUARDIA INTERIOR DE SUPERMERCADOS LA COLONIA PRADO, MUNIC: SPS, DEPTO:CORTES",15.4861602096714,-88.0335635941275,A
K092,KIELSA SPS UNO SANTA MARTA,"GASOLINERA UNO SANTA MARTA CARRETERA A LA LIMA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4995725861877,-87.9869528035678,C
K093,KIELSA SPS UNO EL EDEN,"DIRECCION: GOSOLINERA UNO EL EDEN 10 CALLE, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5540943408085,-88.0057296698022,B
K099,KIELSA SPS PLAZA PEDREGAL,"N.O SANTA ANA MERENDEDON, PLAZA PEDREGAL INTERIOR, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5251315905985,-88.0381269238674,B
K101,KIELSA SPS CENTRO I,"B. EL CENTRO 4TA CALLE 5TA AVENIDA ANTIGUO LOCAL DE FARMACIA BARLETTA, MUNICIPIO:S.P.S DEPTO CORTES",15.5041744459168,-88.0261751877695,A
K102,KIELSA SPS LAS PALMAS,"B. LAS PALMAS CIRCUNVALACION 8 AVENIDA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4897656948503,-88.0195534395871,C
K112,KIELSA SPS CIRCUNVALACION,"CALLE 9 AVE 15-16 N.O LOS ANDES, AVE CIRCUNVALACION FTE BCO LAFISE, MUNICIPIO: S.P.S, DEPTO: CORTES",15.5146165728762,-88.0345583170732,A
K145,KIELSA SPS 20 CALLE,"BARRIO LAS PALMAS SUR ESTE URBANO , MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4864674812805,-88.0167532138046,C
K150,KIELSA SPS NORTH POINT PLAZA,"BLVD DEL NORTE, CONTIGUO A PLAZA UNIVERSAL, MUNICIPIO: S.P.S, DEPTO:CORTES",15.530589652076,-88.0257673052772,B
K156,KIELSA SPS PLAZA TIERRA SANTA,"COL. PALMIRA 21 CALLE 17 AVE, 1 CUADRA ARRIBA DE CEMESA",15.4886416328339,-88.0367822446441,A
K168,KIELSA SPS ISLAS DEL PROGRESO,"SUR-ESTE URBANO ISLAS DEL PROGRESO II , MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4724249291727,-88.0027499805411,C
K194,KIELSA SPS LA COLONIA #23 ALAMOS,"COLONIA LOS ALAMOS URBANO COLVISULA INTERIOR SUPERMERCADOS LA COLONIA, MUNIC: S P S , DEPTO, CORTES.",15.5485667025626,-88.0112419035678,B
K207,KIELSA SPS PLAZA LAS MERCEDES,"BLVD DEL NORTE, ENTRADA DE RESIDENCIAL LAS MERCEDES, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5540044908635,-87.9983034799254,B
K222,KIELSA SPS CENTRO II,"NOR-OESTE URBANO EL CENTRO, CALLE 1, AVENIDA 5, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5061784440797,-88.0259413711649,A
K602,KIELSA SPS PLAZA EL PORTAL,"PLAZA EL PORTAL, ENTRADA A COLONIA LA RIVERA BLVD. DEL ESTE",15.4749884585647,-87.9702975223711,C
K226,KIELSA SPS 27 CALLE,"Col Reparto Lempira, 27 calle 10 avenida contiguo a farmacia siman, MUNIC: S.P.S, DEPTO: CORTES",15.4775677286875,-87.9858666318504,C
K231,KIELSA SPS LA COLONIA #21 SAN JOSE,"BARRIO SAN ROBERTO SULA, INTERIOR DE SUP. LA COLONIA, SEGUNDO ANILLO PERIFERICO 20 CALLE, SPS:CORTES",15.4848647750336,-88.0054148993231,C
K063,KIELSA SPS MEGAPLAZA,"DIRECCION: CENTRO COMERCIAL MEGAPLAZA, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5044523734033,-88.0052347385017,C
K017,KIELSA SPS CITY MALL NIVEL I,"CITY MALL1ER NIVEL, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4967887972121,-88.0360805608417,A
K018,KIELSA SPS CITY MALL NIVEL II,"CITY MALL 2DO NIVEL, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4970250635334,-88.037143006845,A
K085,KIELSA SPS MULTIPLAZA,"INTERIOR CENTRO COMERCIALMULTIPLAZA LOCAL 141, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.4948604970628,-88.0340953514282,A
K054,KIELSA SPS PASAJE VALLE,"DIRECCION: B. EL CENTRO PASAJE VALLE, MUNICIPIO: SAN PEDRO SULA, DEPARTAMENTO: CORTES",15.5045076273822,-88.0249382705163,A
K142,KIELSA SPS ALTARA,"ALTARA N.O AMPLIACIONES URBANAS SECTOR RIO BLANCO, CENTRO COMERCIAL ALTARA., MUNIC: S.P.S: CORTES",15.5627962,-88.0216935,B
K052,KIELSA SPS GALERIAS DEL VALLE,"DIRECCION: COL. JARDINES DEL VALLE POR GALERIAS DEL VALLE, MUNICIPIO: SAN PEDRO SULA, DEPT: CORTES",15.5305842031823,-88.0291076449274,B
K053,KIELSA SPS ENTRADA A COL HONDURAS,"DIRECCION: BLVD. JUAN PABLO II, 15 CALLE, ENTRADA A COL. HONDURAS",15.5166136587511,-88.0117250271561,B
K171,KIELSA SPS STIBYS,"COLONIA STIBYS, 5TA. CALLE",15.5451660715851,-88.0251736581243,B
K253,KIELSA SPS PLAZA UNIVERSAL,"PLAZA UNIVERSAL, SUPERMERCADO LA COLONIA, DIUNSA BLVD DEL NORTE",15.532491669826,-88.0189866807268,B
K264,KIELSA SPS MEGA PLAZA PALENQUE,"MEGA PLAZA PALENQUE, CARRETERA EL PALENQUE , COMUNIDAD STIBYS, COL. TARA",15.53955364306,-88.0172544797267,B
K283,KIELSA SPS PLAZA BULEVARES,"PLAZA BULEVARES 33 CALLE, VILLA ASTURIA SAN PEDRO SULA",15.4676229542138,-87.9789502184797,C
K301,KIELSA SPS PLAZA TOWN CENTER,"BLVD DEL ESTE, AUTOPISTA HACIA AL AEROPUERTO RAMON VILLEDA MORALES, SPS",15.5014322266311,-87.9988067754646,C
